"","occ2010","occ2018","xwalk_wt_fnl"
"329",4300,4330,1
"330",4320,4330,1
"331",4340,4340,1
"332",4350,4350,1
"333",4400,4400,1
"334",4410,4400,1
"335",4420,4420,1
"336",4430,4435,1
"337",4460,4461,0.223535490516168
"338",4465,4465,1
"339",4500,4500,1
"340",4510,4510,1
"341",4520,4510,0.25
"342",4520,4521,0.653692194178527
"343",4520,4522,0.289292730914313
"344",4520,4525,0.0570150749071599
"345",4530,4530,1
"346",4540,4540,1
"347",4600,4600,1
"348",4610,3602,1
"349",4620,3602,0.333333333333333
"350",4620,4621,0.639870212379525
"351",4620,4622,0.360129787620475
"352",4640,4640,1
"353",4650,4655,1
"354",4700,4700,0.748511553365386
"355",4710,4710,1
"356",4720,4720,1
"357",4740,4740,1
"358",4750,4750,1
"359",4760,4760,1
"360",4800,4800,1
"361",4810,4810,1
"362",4820,4820,1
"363",4830,4830,1
"364",4840,4840,1
"365",4850,4850,1
"366",4900,4900,1
"367",4920,4920,1
"368",4930,4930,1
"369",4940,4940,1
"370",4950,4950,1
"371",4965,4965,1
"372",5000,5000,1
"373",5010,5010,1
"374",5020,5020,1
"375",5030,5040,1
"376",5100,5100,1
"377",5110,5110,1
"378",5120,5120,1
"379",5130,5130,1
"380",5140,5140,1
"381",5150,5150,1
"382",5160,5160,1
"383",5165,5165,1
"384",5200,5200,1
"385",5210,5210,1
"386",5220,5220,1
"387",5230,5230,1
"388",5240,5240,1
"389",5250,5250,1
"390",5260,5260,1
"391",5300,5300,1
"392",5310,5310,1
"393",5320,5320,1
"394",5330,5330,1
"395",5340,5340,1
"396",5350,5350,1
"397",5360,5360,1
"398",5400,5400,1
"399",5410,5410,1
"400",5420,5420,1
"401",5500,5500,1
"402",5510,5510,1
"403",5520,5510,0.333333333333333
"404",5520,5521,0.355050501062959
"405",5520,5522,0.644949498937041
"406",5530,5530,1
"407",5540,5540,1
"408",5550,5550,1
"409",5560,5560,1
"410",5600,5600,1
"411",5610,5610,1
"412",5620,9645,1
"413",5630,5630,1
"414",5700,5630,0.2
"415",5700,5710,0.133159516093478
"416",5700,5720,0.0289485654391935
"417",5700,5730,0.0430345866340153
"418",5700,5740,0.794857331833314
"419",5800,5740,1
"420",5810,5810,1
"421",5820,5820,1
"422",5830,5830,1
"423",5840,5840,1
"424",5850,5850,1
"425",5860,5860,1
"426",5900,5900,1
"427",5910,5910,1
"428",5920,5920,1
"429",5940,5940,1
"430",6005,6005,1
"431",6010,6010,1
"432",6020,6020,1
"433",6040,6040,1
"434",6050,6050,1
"435",6050,6115,0.5
"436",6100,6115,1
"437",6110,6115,1
"438",6120,6120,1
"439",6130,6130,1
"440",6200,6200,1
"441",6210,6210,1
"442",6220,6220,1
"443",6230,6230,1
"444",6240,6240,1
"445",6250,6250,1
"446",6260,6260,1
"447",6260,6305,0.5
"448",6300,6305,1
"449",6310,6305,1
"450",6320,6305,1
"451",6330,6330,1
"452",6355,6355,1
"453",6360,6360,1
"454",6400,6400,1
"455",6400,6410,0.5
"456",6420,6410,1
"457",6430,6410,1
"458",6440,6410,0.333333333333333
"459",6440,6441,0.0991679007120844
