"","census_2018","estz_total_sim","estz_core_sim","estz_supplemental_sim","estz_total_quint_sim","estz_core_quint_sim","estz_supplemental_quint_sim","estz_total_admin","estz_core_admin","estz_supplemental_admin","estz_total_quint_admin","estz_core_quint_admin","estz_supplemental_quint_admin"
"207","3120",0.00252516157332283,0.00252516157332283,0,2,2,1,0.090909094,0.090909094,0,2,2,1
"208","3140",0.00248859877016686,0.00248859877016686,0,2,2,1,0.090909094,0.090909094,0,2,2,1
"209","3150",0.00361199925547153,0.00325919939849035,0.014705882,3,3,3,0.15056023,0.13585435,0.014705882,3,3,3
"210","3160",0.000977615832279855,0.000977615832279855,0,1,2,1,0.041666668,0.041666668,0,1,2,1
"211","3200",0.00192691239193332,0.00192691239193332,0,2,2,1,0.090909094,0.090909094,0,2,2,1
"212","3210",0.00438943916352392,0.00438943916352392,0,3,3,1,0.18181819,0.18181819,0,3,3,1
"213","3220",0.00147134425606118,0.00147134425606118,0,2,2,1,0.06818182,0.06818182,0,2,2,1
"214","3230",0.00902623220487703,0.00773677063816364,0.041666668,3,4,3,0.29166666,0.25,0.041666668,4,4,4
"215","3235",0.00239271006229741,0.00239271006229741,0,2,2,1,0.1,0.1,0,2,3,1
"216","3245",NA,NA,NA,NA,NA,NA,0.19,0.19,0,3,3,1
"217","3250",0.00309568556828274,0.00257973797356895,0.021739131,2,2,3,0.13043478,0.10869565,0.021739131,3,3,3
"218","3255",0.0044211648612628,0.0038848551843117,0.022222223,3,3,3,0.18319285,0.16097063,0.022222223,3,3,3
"219","3256",0.00200867654987315,0.00200867654987315,0,2,2,1,0.083333336,0.083333336,0,2,2,1
"220","3257",0.0073686467460609,0.0073686467460609,0,3,4,1,0.2857143,0.2857143,0,4,4,1
"221","3258",0.0090525573908789,0.0090525573908789,0,3,4,1,0.37037036,0.37037036,0,4,5,1
"222","3261",0.00546681028796428,0.00546681028796428,0,3,3,1,0.19790371,0.19790371,0,3,3,1
"223","3270",0.00546681028796428,0.00546681028796428,0,3,3,1,0.19790371,0.19790371,0,3,3,1
"224","3300",0.00643085040182201,0.00493045751252975,0.061979167,3,3,4,0.129407053,0.0984174725,0.0309895835,3,3,3
"225","3310",0.00137154320394749,0.00137154320394749,0,2,2,1,0.055555556,0.055555556,0,2,2,1
"226","3321",0.00285065217890813,0.000950217369213941,0.079999998,2,2,4,0.12,0.039999999,0.079999998,2,2,4
"227","3322",0.00175920545379262,0.00175920545379262,0,2,2,1,0.075000003,0.075000003,0,2,2,1
"228","3323",0.00463495280904158,0.00463495280904158,0,3,3,1,0.21666667,0.21666667,0,3,4,1
"229","3324",0.00200554935847249,0.00200554935847249,0,2,2,1,0.086956523,0.086956523,0,2,2,1
